,Subject,"THEME (race, identity, activism, government, entertainment, education)",Subject Name,Geographic Coverage,Photographer,Date,Year,Caption,longitude,latitude,latlng,imageurl
"Los Angeles County workers staging demonstration, banner reading ""End Race and Sex Discrimination in L.A. County,"" 1985",Discrimination in employment--California--Los Angeles County,Activism,,Los Angeles County (Calif.)--Officials and employees,"Shepler, Lori",1985-01-01,1985,"Delivering a Message--County workers protesting the pace of contract negotiations and what they see as race and sex bias gathered at the Hall of Administration Tuesday. Above, protestors carry thousands of postcards fastened in a chain and, at right, the scene outside. Contracts for about 40,000 Local 660 workers expire this month.",-118.2463861,34.05780605,"34.05780605,-118.2463861",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328894a.jpg
"Apartheid protesters with sign reading ""No Grammy to Artists Who Entertain Apartheid,"" outside the Grammy Awards in Los Angeles, Calif., 1985",Demonstrations--California--Los Angeles County,Activism,,Los Angeles (Calif.),"Leffingwell, Randy",1985-01-01,1985,Apartheid protesters hold up their signs at Tuesday's Grammys,-118.2814479,34.02317807,"34.02317807,-118.2814479",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326493a.jpg
"Margaret Prescod of Black Coalition Fighting Back Serial Murders handing out flyers about the Southside Slayer on Rodeo Drive in Beverly Hills, Calif., 1986",Crime prevention--Citizen participation,Activism,"Prescod-Roberts, Margaret",Beverly Hills (Calif.),"Kaul, Rosemary",1986-01-01,1986,,-118.4031384,34.06919929,"34.06919929,-118.4031384",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326931a.jpg
"Afghani protesters with signs decrying Soviet occupation of Afghanistan, Los Angeles, Calif., 1986",Demonstrations--California--Los Angeles County,Activism,,Los Angeles (Calif).,"Brown, Sarah M.",1986-01-01,1986,,-118.2435644,34.05370833,"34.05370833,-118.2435644",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329797a.jpg
"Demonstrators with signs reading ""LaRouche Public Health Enemy #1,"" protesting AIDS Initiative, Calif., 1986",Acquired Immunodeficiency Syndrome--Legislation--California--Public opinion,Activism,"LaRouche, Lyndon H.--Public opinion",Los Angeles (Calif.),"Meadows, Mike",1986-01-01,1986,Some of those who marched on Los Feliz Blvd. against Lyndon LaRouche and Prop. 64.,-118.2718885,34.11630806,"34.11630806,-118.2718885",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329262a.jpg
"Mayor Tom Bradley and Alan Cranston speaking at divest and Anti-Apartheid rally at UCLA, 1986",Legislators--United States,Activism,"Cranston, Alan MacGregor",Los Angeles (Calif.)--Officials and employees,"Kelsey, Thomas",1986-01-01,1986,Mayor Tom Bradley and Sen. Alan Cranston speaking to UCLA students at rally.,-118.4447622,34.07098674,"34.07098674,-118.4447622",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328888a.jpg
"Demonstrators on both sides of the abortion issue at rally in Los Angeles, Calif., 1986",Demonstrations--California--Los Angeles County,Activism,,"Olvera Street (Los Angeles, Calif.)","Meyer, Rick",1986-01-01,1986,Demonstrators on both sides of the abortion issue mingle placards during Olvera Street rally.,-118.2387042,34.05605499,"34.05605499,-118.2387042",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328750a.jpg
"Betty Friedan at USC, 1986",Feminists--United States,Activism,"Friedan, Betty",Los Angeles (Calif.),"Frampton, Mary",1986-01-01,1986,"Betty Friedan: ""There are many ways in which women are more geared for vital age than men, biological as well as other ways.""",-118.2862815,34.0227423,"34.0227423,-118.2862815",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329773a.jpg
"Demonstrators with signs reading ""No Pasaran"" and ""Stop Bombing El Salvador"" in front of Los Angeles City Hall, 1986","Military assistance, American--Central America--Public opinion",Activism,"Flint, Frank P. (Frank Putnam), b. 1862--Monuments",United States--Foreign relations--El Salvador--Public opinion,,1986-01-01,1986,,-118.2432613,34.05314832,"34.05314832,-118.2432613",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329273a.jpg
"Demonstrators outside Turkish consulate on Armenian Genocide Day of Remembrance in Los Angeles, Calif., 1987",Armenian Americans--California--Los Angeles,Activism,,Los Angeles (Calif.),"Schneider, Iris",1987-01-01,1987,Demonstrators attack a Turkish flag during Day of Remembrance protest outside Turkish consulate in Hancock Park,-118.3663023,34.06331677,"34.06331677,-118.3663023",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329496a.jpg
"Crowd with signs in Korean and English at rally in support of protesters in South Korea, Los Angeles, Calif., 1987",Multilingualism--California--Los Angeles County,Activism,,Los Angeles (Calif.),"Galvez, Jose",1987-01-01,1987,Crowd holds sign in Korean and English at Los Angeles rally to press for democracy in South Korea and support student protesters.,-118.3011192,34.05334388,"34.05334388,-118.3011192",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329511a.jpg
"Clergymen at Armenian Genocide Day of Remembrance event in Montebello, Calif., 1987","Armenian massacres, 1915-1923--Anniversaries, etc.",Activism,,Montebello (Calif.),"Schneider, Iris",1987-01-01,1987,Clergymen join crowd in Montebello park to hear speeches on massacre of Armenians.,-118.1309223,34.02845986,"34.02845986,-118.1309223",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329495a.jpg
"Martin Sheen and Edwards James Olmos during UFW hunger strike at Our Lady of Angels Church, Calif., 1988",Agricultural laborers--Health and hygiene--California,Activism,"Sheen, Martin--Political activity",Los Angeles (Calif.),"Atkins, Lacy",1988-01-01,1988,,-118.2452005,34.05791716,"34.05791716,-118.2452005",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329565a.jpg
"Dr. Max Vorspan of University of Judaism with Esther Dubin and Mrs. Marcus Mandell, Los Angeles, Calif., 1965",Jews--California--Los Angeles County,Identity,"Mandell, Marcus, 1916-1979--Family",Los Angeles (Calif.),,1965-01-01,1965,"RITUAL SYMBOLS-Dr. Max Vorspan, executive dean, University of Judaism, shows school's Torah to Mmes. Paul Dubin, center, and Marcus Mandell who plan luncheon Thursday for Pacific Southwest Branch, National Women's League, United Synagogue of America. Event at Beverly Hilton will aid the university.",-118.4718418,34.12745475,"34.12745475,-118.4718418",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168082a.jpg
"American Federation of Teachers members picketing in protest of teacher's transfer at Pasadena High School, Calif., 1965",Teacher transfer,Activism,Pasadena Unified School District,Pasadena (Calif.),,1965-01-01,1965,"FIRST DAY OF SCHOOL-Pickets marched Monday at Pasadena High School and at district offices in protest of teacher's transfer from high school to junior high school. They were members of American Federation of Teachers. Teacher charged ""harrassment.""",-118.0910325,34.16173382,"34.16173382,-118.0910325",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00168308a.jpg
"Fidelia Marquez with children playing at Council of Mexican-American Affairs Head Start Center in Los Angeles, Calif., 1967",Head Start programs--California--Los Angeles County,Race,Council of Mexican-American Affairs,Los Angeles (Calif.),"Carrick, Jack",1967-01-01,1967,"Fidelia Marquez pushing child on swing, as other children play at Council of Mexican-American Affairs Head Start Center in Los Angeles, Calif., 1967",-118.2071052,34.031069,"34.031069,-118.2071052",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326057a.jpg
"Anyim Palmer, with students of the African-American Marcus Garvey School in Los Angeles, Calif., 1980",African Americans--Education--California--Los Angeles,Race,"Palmer, Anyim",Los Angeles (Calif.),"Hively, Ken",1980-01-01,1980,,-118.3233574,33.98921427,"33.98921427,-118.3233574",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326190a.jpg
Art Aragon after fight with Jimmy Carter,Mexican American boxers,Race,"Aragon, Art, 1927-",Los Angeles (Calif.),,1951-01-01,1951,,-118.2680368,34.03409697,"34.03409697,-118.2680368",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012587a.jpg
"Mayor Loretta Thompson-Glickman with sons Jacob and Samuel in Pasadena, Calif., 1982",Mothers and sons,Identity,"Thompson-Glickman, Loretta",Pasadena (Calif.)--Officials and employees,"Mack, Lou",1982-01-01,1982,Pasadena Mayor Loretta Glickman with sons Jacob and Samuel.,-118.1438184,34.14765716,"34.14765716,-118.1438184",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327641a.jpg
"Mayor Tom Bradley addressing crowd at Democratic Party Election Night headquarters in Biltmore Hotel, Los Angeles, Calif., 1984",African American mayors--California--Los Angeles,Race,"Davis, Gray, 1942-",Los Angeles (Calif.),"Schneider, Iris",1984-01-01,1984,,-118.2533598,34.0491126,"34.0491126,-118.2533598",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326443a.jpg
"Los Angeles Mayor Tom Bradley speaking at the Democratic National Convention in San Francisco, Calif., 1984",African American mayors--California--Los Angeles,Race,"Bradley, Tom, 1917-1998 (Los Angeles Mayor : 1970-1993)",Los Angeles (Calif.)--Officials and employees,"Schneider, Iris",1984-01-01,1984,,-122.3999959,37.78374011,"37.78374011,-122.3999959",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326349a.jpg
"Los Angeles Mayor Tom Bradley and Councilman Marvin Braude flipping ""on switch"" for 911 emergency telephone system, 1984",Telephone--Emergency reporting systems,Race,"Bradley, Tom, 1917-1998 (Los Angeles Mayor : 1970-1993)",Los Angeles (Calif.)--Officials and employees,"Downs, Patrick",1984-01-01,1984,,-118.2416761,34.05302387,"34.05302387,-118.2416761",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326429a.jpg
"Delegates watching Geraldine Ferraro speak at the 1984 Democratic National Convention in San Francisco, Calif.",Women political candidates--United States,Identity,"Ferraro, Geraldine",San Francisco (Calif.),,1984-01-01,1984,,-122.3999584,37.78376554,"37.78376554,-122.3999584",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00326348a.jpg
"Americana Motel turned into secured illegal alien detention center in Los Angeles, Calif., 1986",Alien detention centers--California--Los Angeles County,Identity,,"Los Angeles (Calif.)--Buildings, structures, etc.","Yaro, Boris",1986-01-01,1986,"The Americana Motel detention center and, below, a view of the barred courtyard and some of those being held.",-118.3382544,34.09613814,"34.09613814,-118.3382544",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328738a.jpg
"Art Torres speaking against Los Angeles City Energy Recovery Project (LANCER), 1986",Demonstrations--California--Los Angeles County,Activism,"Torres, Art",Los Angeles (Calif.),"Meyer, Rick",1986-01-01,1986,Sen. Art Torres speaking Wednesday at incinerator site.,-118.2395486,34.0079855,"34.0079855,-118.2395486",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329289a.jpg
"Mayor Tom Bradley and Councilwoman-elect Gloria Molina, Los Angeles, Calif., 1987",African American mayors--California--Los Angeles,Identity,"Molina, Gloria",Los Angeles (Calif.)--Officials and employees,"Gladstone, Penni",1987-01-01,1987,,-118.2426739,34.05369944,"34.05369944,-118.2426739",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329820a.jpg
"Homeless sleeping on floor of Council Chambers at City Hall, Los Angeles, 1987",Homeless persons--California--Los Angeles County,Identity,"Los Angeles City Hall (Los Angeles, Calif.)",Los Angeles (Calif.)--Social conditions,"Gladstone, Penni",1987-01-01,1987,,-118.243264,34.053589,"34.053589,-118.243264",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329808a.jpg
Homeless persons--California--Los Angeles County,Homeless persons--California--Los Angeles County,Identity,"Kindel, Maureen, 1937-",Los Angeles (Calif.)--Officials and employees,"Lubas, Ken",1987-01-01,1987,,-118.2432318,34.04385877,"34.04385877,-118.2432318",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329489a.jpg
"Bulldozer clearing homeless camp in Los Angeles, Calif., 1987",Homeless persons--Housing--California--Los Angeles County,Identity,,Los Angeles (Calif.)--Social conditions,"Lubas, Ken",1987-01-01,1987,Bulldozer plows through makeshift shelters during clearing of park at 6th and Gladys...,-118.2491863,34.05603721,"34.05603721,-118.2491863",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329803a.jpg
"Mayor Tom Bradley at podium during opening of Crenshaw Mall in Los Angeles, Calif., 1988",African American mayors--California--Los Angeles,Race,"Bradley, Tom, 1917-1998 (Los Angeles Mayor : 1973-1993)",Los Angeles (Calif.)--Officials and employees,"Gabriel, Robert",1988-01-01,1988,"To accomplish the overhaul of the 100-store complex, Bradley said, ""we fought the doubts and fears of the community.""",-118.345204,34.01720232,"34.01720232,-118.345204",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00329576a.jpg
Los Angeles City Councilwoman Pat Russell at Los Angeles Times Women of the Year event in 1971,City council members--California--Los Angeles,Identity,"Russull, Pat, 1924- --Awards",Los Angeles (Calif.)--Officials and employees,"Frampton, Mary",1971-01-01,1971,"Pat Russell, only female member of the Los Angeles City Council, is congratulated on being named one of the 10 Times Women of the Year for 1971.",-118.2451844,34.05286387,"34.05286387,-118.2451844",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327226a.jpg
"Congresswoman Yvonne Brathwaite Burke and husband William presenting newborn daughter Autumn to reporters in Los Angeles, Calif., 1973",Legislators--United States,Identity,"Burke, Yvonne Brathwaite, 1932- --Family",Los Angeles (Calif.),"Olender, Ben",1973-01-01,1973,"SOMETHING NEW FOR THE HOUSE--Rep. Yvonne Brathwaite Burke, the first member of Congress to have a baby while in office, leaves Queen of Angels hospital with 6-day-old Autumn Roxann. Rep. Burke said she will stay in Los Angeles until start of the second session of Congress, then take the baby with her to Washington. Congressman is wife of businessman William Burke.",-118.2686698,34.07549242,"34.07549242,-118.2686698",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00328204a.jpg
"Mayor Phyllis Seaton, seated in front of Beverly Hills City Hall, Calif., 1973",Women mayors--California--Los Angeles County,Identity,"Seaton, Phyllis, 1907-1987","Beverly Hills (Calif.)--Buildings, structures, etc.",,1973-01-01,1973,"NEW MAYOR--Phyllis Seaton, wife of Academy Award winning director-writer George Seaton, stands in front of the Beverly Hills City Hall. She was elected to a one-year term as the city's first woman mayor by her fellow city councilmen Tuesday night.",-118.4005487,34.07280193,"34.07280193,-118.4005487",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327946a.jpg
"General of the United States Army, Omar Nelson Bradley flanked by Peggy Stevenson and Tom Bradley in city council chambers Los Angeles, Calif., 1976",Award presentations--California--Los Angeles,Race,"Stevenson, Peggy",Los Angeles (Calif.)--Officials and employees,"Malmin, John",1976-01-01,1976,"HE'S NO. 1 in L.A.--General of the Army Omar Bradley, 83, receives from Councilwoman Peggy Stevenson and Mayor Tom Bradley the city's highest honor, a joint resolution from the City Council and mayor, in the council chambers. The general, wearing some of his 75 military decorations, will also receive the USO's first Distinguished American Award here on Wednesday.",-118.243264,34.053589,"34.053589,-118.243264",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00327867a.jpg
"Male sailor and two WAVES (Naval female reserves) on board USS Uhlmann in Terminal Island, Calif., 1950",Man-woman relationships--California--Los Angeles,Identity,United States. Naval Reserve. Women's Reserve,Terminal Island (Calif.),,1950-01-01,1950,"TO LOOK THEIR BEST--Fireman 1st Class Samuel E. Adolt, 19, sees something new on destroyer: Marion Koopman, left and Margaret Williams, prettying up.",-118.269217,33.72628493,"33.72628493,-118.269217",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325912a.jpg
"Descendents of Los Angeles pioneer families, Adelaide P. Mitchel,  Mary E. Foy, Rose Zobelein Lick, Alice O'Neill Moiso and Julia Stearns Dockweiler, 1950",People (women),Identity,"Avery, Alice O'Neill",Los Angeles (Calif.)--History,,1950-01-01,1950,"SCIONS OF SETTLERS--Representatives of pioneer Los Angeles families are, seated left to right, Mrs. H.H. Mitchel, Miss. Mary E. Foy and Mrs. Charles J. Lick.  Standing are Mrs. Alice O'Neill Moiso and Miss Julia Stearns Dockweiler.",-118.2538319,34.04940595,"34.04940595,-118.2538319",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325932a.jpg
"Mrs. William Gude and daughter Wendy look through shattered window, 1950.","Mother and child--California, Southern",Identity,,"Brentwood (Los Angeles, Calif.)",,1950-01-01,1950,IMPERILED - In their home across the street from Mickey Cohen's house Mrs. William Gude and daughter Wendy look through a shattered window.  The little girl was showered with glass particles and frightened into hysterics when dynamite exploded.,-118.4880698,34.04903093,"34.04903093,-118.4880698",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz00180rcb_728904_thumbnail.jpg
"Pacific Colony mental hospital superintendant, Dr. George Tarjan, at his desk, 1950.",Mental health services--California,Identity,"Tarjan, George",Spadra (Calif.),,1950-01-01,1950,"CHIEF - Dr. George Tarjan, 37, and Hungarian born, Pacific Colony superintendent.",-117.810843,34.0463667,"34.0463667,-117.810843",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz00256c68_1659911_thumbnail.jpg
"Members of First United Presbyterian Church looking over timecapsule found under cornerstone of church in Los Angeles, Calif., 1950",Presbyterians--California--Los Angeles County,Identity,"Strangeway, T.G.",Los Angeles (Calif.),,1950-01-01,1950,"AFTER 44 YEARS-- The old First United Presbyterian Church is being torn down to make way for the Harbor Parkway.  So yesterday when the cornerstone was removed these interested persons were there to read the newspapers and church hymns placed in little metal box in 1906.  From left, Dr. W.E. McCulloch, former pastor; George C. Hill, Dr. T.G. Strangeway, present pastor, and Dr. Grace Finney, who with Hill was present in 1906.",-118.2628039,34.04621681,"34.04621681,-118.2628039",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00325922a.jpg
"Procession outside of Our Lady of Guadalupe Church, Los Angeles, 1952",Catholic Church--Liturgy,Identity,"Our Lady of Guadalupe Church (Los Angeles, Calif.)",Los Angeles (Calif.),,1952-01-01,1952,"Text from newspaper caption: Two Bishops At Rites: Standing in doorway at top of steps at left are Bishop Timothy Manning, left, and Bishop Alfredo Galindo as procession leaves front of Our Lady of Guadalupe Church during ceremony yesterday honoring the patroness of the Americas. A large picture of the saint was borne by marchers in long procession.",-118.177237,34.043535,"34.043535,-118.177237",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_1_1_00012590a.jpg
"Marilyn Monroe and Jane Russell putting footprints in cement at Chinese Theater in Los Angeles, Calif., 1953",Women--Clothing & dress--California--Los Angeles--1950-1960,Identity,Hollywood Walk of Fame,"Hollywood Boulevard (Los Angeles, Calif.)",,1953-01-01,1953,"FOR FANS' DELIGHT-- Scores of film fans watched as Marilyn Monroe, left, and Jane Russell put signatures, hand and foot prints in cement at Grauman's.",-118.3409125,34.10174853,"34.10174853,-118.3409125",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00178543a.jpg
"Brother Paul leads Fountain of the World members in prayer, 1954.",Prayer,Identity,,Ventura County (Calif.),,1954-01-01,1954,"BEFORE THE EXODUS - Brother Paul, foreground, spiritual leader of the WKFL Fountain of the World religious cultists ordered to vacate their Box Canyon colony site, leads his group in prayer before the move.  Brother Paul said the cult owed $2600 in rent on the site.",-118.599472,34.23280931,"34.23280931,-118.599472",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz00161cp9-1-thumbnail.jpg
"Robert O'Donnell, Jennifer Jones, and William Holden, Beverly Hills, 1955",Men,Identity,"Jones, Jennifer, 1919-",Beverly Hills (Calif.),,1955-01-01,1955,"Text from newspaper caption: Year's Best Actress--Jennifer Jones, who won Audience Award trophy as best actress in ""Love is a Many Splendored Thing,"" got best wishes of costar Actor William Holden, right, and Robert O'Donnell.",-118.41364,34.06675,"34.06675,-118.41364",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b259_96265-A_William_Holden_Dec_7_1955.jpg
"Virgil Pinkley, Grace Kelly, and Philip Chandler, Beverly Hilton, Beverly Hills, 1955",Men,Identity,"Kelly, Grace",Beverly Hills (Calif.),"Murphy, Bill",1955-01-01,1955,"Text from negative sleeve: October 23, 1955 Dinner honoring L.A. publishers at the Bev. Hilton by City of Hope from l to r: Virgil Pinkley, actress Grace Kelly, and Philip Chandler.",-118.41252,34.06658,"34.06658,-118.41252",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1378_b254_95520-B1_Kelly_Oct_23_1955.jpg
"Virgil Pinkley, Grace Kelly, and Philip Chandler, Beverly Hilton, Beverly Hills, 1955",Men,Identity,"Kelly, Grace",Beverly Hills (Calif.),"Murphy, Bill",1955-01-01,1955,"Text from negative sleeve: Oct. 23, 1955 City of Hope dinner for L.A. Publishers."" 24 Oct. 1955: A1.",-118.41252,34.06658,"34.06658,-118.41252",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1378_b254_95520-B2_Kelly_Oct_23_1955.jpg
"Richard A. Carrington Jr., David W. Hearst, Maurice Kantro, Grace Kelly, Philip Chandler, Virgil Pinkley, and Neil Petree, Beverly Hilton, Beverly Hills, 1955",Men,Identity,#REF!,Beverly Hills (Calif.),"Murphy, Bill",1955-01-01,1955,"Text from negative sleeve: Oct. 23, 1955 City of Hope dinner for L.A. Publishers at the Bev. Hilton L to r: Richard A. Carrington Jr., publisher of the Examiner David W. Hearst, publisher of the Herald, Maurice Kantro, President of the City of Hope Medical Center Aids, actress Grace Kelly, Philip Chandler, Virgil Pinkley, Neil Petree honorary dinner chairman.",-118.41252,34.06658,"34.06658,-118.41252",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1378_b254_95520-A_Kelly_Oct_23_1955.jpg
"Know Your City No.8 Entrance to Hompa Hongwanja Buddhist Temple, Los Angeles, Calif.","Temples, Buddhist--California--Los Angeles County",Identity,"Hompa Hongwanji Buddhist Temple (Los Angeles, Calif.)","Little Tokyo (Los Angeles, Calif.)--Buildings, structures, etc.",,1955-01-01,1955,"KNOW YOUR CITY, NO. 8--This is very familiar to its 2300 members. And to thousands more. Even gives you the address: 119 N Central Ave.,near corner of E 1st St.  Just for fun of it, can you guess what it is?  Find answer on Page 28, Part II.",-118.2391025,34.04940817,"34.04940817,-118.2391025",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00178626a.jpg
"Los Angeles Junior League member, Elizabeth Bell, modeling evening gown designed by Galanos, 1955",evening dresses (garments),Identity,"Bell, Elizabeth Helms",Los Angeles (Calif.),"Cox, Bruce H.",1955-01-01,1955,"A STUNNING BALL GOWN was worn, and well, by Mrs. Alphonzo E. Bell Jr., above. Designed by Galanos its full silken shirt duplicated the colors of the Italian flag.",-118.2970154,34.0600726,"34.0600726,-118.2970154",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00178768a.jpg
"Church of the Blessed Sacrament Hollywood, Calif., 1956",Street lighting--California--Los Angeles,Identity,"Church of the Blessed Sacrament (Hollywood, Calif.)","Hollywood (Los Angeles, Calif.)--Buildings, structures, etc.",,1956-01-01,1956,,-118.3348332,34.09797944,"34.09797944,-118.3348332",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/clusc_8_1_00178694a.jpg
"Deborah Kerr, Tony Bartley, and daughter Melanie Jane Bartley, Grauman's Chinese Theater, Los Angeles, 1957",Girls $z California $z Los Angeles,Identity,"Chinese Theatre (Los Angeles, Calif.)",Los Angeles (Calif.),,1957-01-01,1957,,-118.34092,34.10208,"34.10208,-118.34092",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b301_103525-b_Kerr_Bartley_Daughter_3-15-1957.jpg
"Georgia Ann Farmer kissing the ring of Cardinal McIntyre, St. Vincent's Church, Los Angeles, 1958",Religious services--California--Los Angeles County,Identity,"St. Vincent Catholic Church (Los Angeles, Calif.)",Los Angeles (Calif.),,1958-01-01,1958,"Text from newspaper caption: Graduation Ceremony--Georgia Ann Farmer, one of the 42 nurses in the 1958 class of St. Vincent's College of Nursing, kisses the ring of Cardinal McIntyre at the presentation of diplomas in St. Vincent's Church yesterday.  The Rev. Charles S. Casassa, SJ, at left, delivered the address to the graduates.",-118.27562,34.03021,"34.03021,-118.27562",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/c1429_b351_112092-1.jpg
"Mother Ruth, widow of Krishna Venta, reunites with two of her sons at Los Angeles International Airport, 1958.",Mothers and sons,Identity,Los Angeles International Airport,"Westchester (Los Angeles, Calif.)",,1958-01-01,1958,"LA Times caption: VENTA'S WIDOW ARRIVES - Mother Ruth, widow of Cult Leader Krishna Venta, is greeted by two of her sons, Lael, 8, and Sharva, 11, as she arrives at Los Angeles International Airport from group's colony in Alaska.",-118.4089705,33.9434916,"33.9434916,-118.4089705",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001409vn-1-thumbnail.jpg
"Bishop Nekona raises her palms to the sky as Sister Muriel watches in the ruins of the headquarters of Fountain of the World, 1958.",Bishops,Identity,,Ventura County (Calif.),,1958-01-01,1958,LA Times caption: TELLS OF BLAST - Bishop Nekona of Fountain of the World sect raises hands toward sky as she describes flames pouring from rubble of the bombed building.  Listening to her story is Sister Muriel.,-118.6503653,34.2513872,"34.2513872,-118.6503653",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001408v5-1-thumbnail.jpg
"Bishop Nekona tells Sister Muriel of the fire that enveloped the Fountain of the World headquarters, 1958.",Signs and signboards,Identity,,Ventura County (Calif.),,1958-01-01,1958,LA Times caption: TELLS OF BLAST - Bishop Nekona of Fountain of the World sect raises hands toward sky as she describes flames pouring from rubble of the bombed building.  Listening to her story is Sister Muriel.,-118.6503653,34.2513872,"34.2513872,-118.6503653",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001408df-1-thumbnail.jpg
"Bishop Asaiah leads Fountain of the World followers in prayer for the deceased leader, Krishna Venta, and the other nine victims of a bombing of the group's headquarters, 1958.",Prayer,Identity,,Ventura County (Calif.),,1958-01-01,1958,"LA Times caption: PRAYER - Bishop Asaiah, left, who assumed temporary leadership of the sect after the blast, leads followers in pryer for slain ""Master"" and other victims.",-118.6503653,34.2513872,"34.2513872,-118.6503653",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001409ff-1-thumbnail.jpg
"Bishop Nekona and Sister Muriel stand, with eyes closed, in the ruins of the Fountain of the World headquarters, 1958.",Bishops,Identity,,Ventura County (Calif.),,1958-01-01,1958,"Daily Mirror caption: 'FLAMES WENT UP ALL AROUND, LIKE THIS' - Bishop Nekona gestures, tells Sister Muriel of fire.",-118.6503653,34.2513872,"34.2513872,-118.6503653",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001408k1-1-thumbnail.jpg
"Bishop Asaiah comforts one of the sisters of Fountain of the World at a prayer meeting in comemoration of the bombing that killed sect leader Krishna Venta along with nine others, 1958.",Prayer,Identity,,Ventura County (Calif.),,1958-01-01,1958,"ALL IS FORGIVEN - Bishop Asaiah, who said the sect asks forgiveness for architect of the searing blast, comforts one of sisters at prayer meeting.",-118.6503653,34.2513872,"34.2513872,-118.6503653",http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/21198-zz001409kh-1-thumbnail.jpg
